transaction_id,date,province,city,category,store_type,payment_method,sales_amount,quantity,discount_percentage,customer_rating,longitude,latitude
TRX00018,2024-12-12,Provinsi Papua Barat,Kabupaten Tuban,Food & Beverage,Online,Bank Transfer,703912,4,25.3,4,115.1711298,-8.7493146
TRX00019,2024-11-15,Provinsi Nusa Tenggara Timur,Kabupaten Kepahiang,Fashion,Offline,Digital Wallet,511951,1,6,3.8,102.578201,-3.651431
TRX00020,2024-01-18,Provinsi Nusa Tenggara Timur,Kabupaten Konawe Selatan,Health & Beauty,Offline,Cash,394436,1,19.7,3.8,122.4467238,-4.2027915
TRX00021,2023-12-30,Provinsi Sulawesi Tengah,Kabupaten Tanah Laut,Food & Beverage,Online,Credit Card,277428,6,15.3,3.8,114.8092691,-3.7694047
TRX00022,2024-05-08,Provinsi Bali,Kabupaten Batanghari,Fashion,Online,Credit Card,199681,2,43.8,3.9,103.0817903,-1.7083922
TRX00023,2024-09-02,Provinsi Kepulauan Bangka Belitung,Kabupaten Bangka,Food & Beverage,Online,Credit Card,204310,3,7.2,3.5,106.0640179,-2.2884782
TRX00024,2024-07-21,Provinsi Kalimantan Timur,Kabupaten Deli Serdang,Electronics,Online,Credit Card,2371826,3,2.4,4.8,98.704075,3.4201802
TRX00025,2024-03-10,Provinsi Maluku Utara,Kabupaten Kepulauan Seribu,Food & Beverage,Online,Digital Wallet,701487,5,28.3,5.2,106.5071982,-5.7985266
TRX00026,2024-03-13,Provinsi Papua,Kabupaten Ogan Komering Ulu Timur,Electronics,Online,Credit Card,355140,3,50.6,3.5,104.7520939,-3.8567934
TRX00027,2024-02-04,Provinsi Banten,Kabupaten Kepulauan Meranti,Food & Beverage,Online,Credit Card,112550,4,9,4.8,102.6675575,0.9208765
TRX00028,2024-12-16,Provinsi Lampung,Kota Padang Panjang,Food & Beverage,Online,Bank Transfer,662121,2,38.8,4.3,100.4059456,-0.470679
TRX00029,2024-11-19,Provinsi Jambi,Kota Bandung,Fashion,Hybrid,Bank Transfer,332050,3,12.3,4.2,107.6098111,-6.9147444
TRX00030,2024-05-14,Provinsi Kepulauan Riau,Kabupaten Empat Lawang,Fashion,Online,Bank Transfer,501044,1,19.2,4.2,102.8975098,-3.7286029
TRX00031,2024-01-24,Provinsi Gorontalo,Kota Pasuruan,Fashion,Online,Credit Card,443828,4,42.4,4.4,112.903297,-7.644872
TRX00032,2024-04-10,Provinsi Nusa Tenggara Timur,Kabupaten Penajam Paser Utara,Health & Beauty,Online,Bank Transfer,1186355,6,16.2,4.3,116.5137964,-1.2917094
TRX00033,2024-09-11,Provinsi Papua,Kota Padangsidimpuan,Electronics,Online,Cash,509765,1,40.9,3.8,99.273972,1.380424
TRX00034,2024-11-17,Provinsi Banten,Kota Batu,Fashion,Offline,Credit Card,456954,4,8,4.3,112.5239,-7.8671
TRX00035,2024-01-15,Provinsi Sumatera Selatan,Kabupaten Sarolangun,Home & Living,Offline,Cash,5857180,1,22.4,4.6,102.6905326,-2.2654937
TRX00036,2024-10-27,Provinsi Lampung,Kabupaten Halmahera Utara,Fashion,Online,Bank Transfer,1619365,5,13.2,4.1,128.4849923,1.3121235
TRX00037,2024-05-06,Provinsi Sulawesi Tengah,Kota Tegal,Electronics,Hybrid,Bank Transfer,621791,2,9.8,3.6,109.1333333,-6.8666667
TRX00038,2024-10-27,Provinsi DI Yogyakarta,Kota Bukittinggi,Home & Living,Hybrid,Digital Wallet,262798,3,6.7,3.4,100.3691667,-0.3055556
TRX00039,2024-08-03,Provinsi Maluku Utara,Kabupaten Maluku Tengah,Home & Living,Online,Cash,1775282,3,22.7,4.5,129.4864411,-3.0166501
TRX00040,2024-06-06,Provinsi Sulawesi Tengah,Kota Palangka Raya,Food & Beverage,Offline,Bank Transfer,214849,5,13.4,4.2,113.92,-2.21
TRX00041,2024-07-27,Provinsi Lampung,Kabupaten Kerinci,Food & Beverage,Online,Cash,520360,2,20.3,3.9,101.4339148,-1.8720467
TRX00042,2024-10-08,Provinsi Sulawesi Utara,Kabupaten Bolang Mongondow Selatan,Fashion,Hybrid,Credit Card,1280711,4,17.4,4.3,123.8411288,0.4053215
TRX00043,2024-03-01,Provinsi Jambi,Kota Jakarta Selatan,Fashion,Online,Credit Card,361866,2,18,3.9,106.807915,-6.332973
TRX00044,2024-03-04,Provinsi DI Yogyakarta,Kabupaten Malang,Home & Living,Offline,Credit Card,378182,3,18.2,4.2,112.6884549,-8.0495643
TRX00045,2024-03-08,Provinsi Papua,Kabupaten Karanganyar,Home & Living,Online,Credit Card,848012,5,1.9,4.3,110.9508333,-7.5961111
TRX00046,2024-02-24,Provinsi Aceh,Kabupaten Morowali,Electronics,Hybrid,Credit Card,627696,2,20,3.2,121.5370003,-2.3003072
TRX00047,2024-05-12,Provinsi Riau,Kabupaten Kepulauan Seribu,Fashion,Hybrid,Bank Transfer,425529,2,22.1,3.7,106.5071982,-5.7985266
TRX00048,2024-07-20,Provinsi Nusa Tenggara Barat,Kabupaten Buton,Home & Living,Hybrid,Digital Wallet,442841,1,27.2,3.5,122.9888319,-5.3096355
TRX00049,2024-12-10,Provinsi Kepulauan Riau,Kabupaten Kupang,Food & Beverage,Online,Bank Transfer,701685,5,20.6,3.6,123.5833333,-10.1833333
TRX00050,2024-12-04,Provinsi Jawa Barat,Kabupaten Sigi,Food & Beverage,Online,Bank Transfer,870714,3,24.5,5,120.0665236,-1.3834127
TRX00051,2024-05-24,Provinsi Sumatera Barat,Kabupaten Lombok Timur,Food & Beverage,Online,Digital Wallet,1991905,2,5.3,4.8,116.5609857,-8.5134471
TRX00052,2024-10-12,Provinsi Sulawesi Selatan,Kabupaten Tegal,Home & Living,Online,Digital Wallet,359011,5,21.6,4.6,109.1333333,-6.8666667
TRX00053,2024-09-25,Provinsi Jawa Barat,Kabupaten Maybat,Home & Living,Online,Credit Card,2037023,2,4.5,4,101.69970000000001,3.1472
TRX00054,2024-02-02,Provinsi Lampung,Kota Sorong,Home & Living,Offline,Cash,126137,2,15,4.8,131.25,-0.8666667
TRX00055,2024-03-22,Provinsi Bali,Kabupaten Kendal,Food & Beverage,Online,Cash,286431,2,26,3.6,110.205597,-6.919686
TRX00056,2024-11-03,Provinsi Jambi,Kabupaten Semarang,Food & Beverage,Hybrid,Cash,141130,1,27.7,3.2,110.4166667,-6.9666667
TRX00057,2024-08-02,Provinsi Nusa Tenggara Timur,Kabupaten Tapanuli Selatan,Electronics,Offline,Bank Transfer,743989,2,6.1,2.7,99.2785583,1.5774933
TRX00058,2024-01-08,Provinsi Papua Barat,Kota Gunungsitoli,Electronics,Offline,Credit Card,831679,4,28.2,4.3,97.61594,1.281964
TRX00059,2024-04-17,Provinsi Sumatera Utara,Kabupaten Indragiri Hulu,Fashion,Hybrid,Digital Wallet,139290,1,7.8,4.2,102.2547919,-0.7361181
TRX00060,2024-03-26,Provinsi Bali,KotaTual,Fashion,Offline,Credit Card,572750,1,28.1,3.8,132.7475093,-5.640851
TRX00061,2024-09-10,Provinsi Lampung,Kabupaten Hulu Sungai Selatan,Fashion,Hybrid,Credit Card,218923,4,12,4.4,115.2363408,-2.7662681
TRX00062,2024-08-14,Provinsi Nusa Tenggara Barat,Kabupaten Aceh Besar,Fashion,Online,Credit Card,894646,2,11.4,4.2,95.4777811,5.4529168
TRX00063,2024-03-18,Provinsi Sulawesi Selatan,Kota Tarakan,Fashion,Online,Credit Card,115315,5,27.2,4,117.6333333,3.3
TRX00064,2024-11-29,Provinsi Maluku,Kota Magelang,Fashion,Hybrid,Credit Card,1296343,3,26.3,4.8,110.213799,-7.481253
TRX00065,2024-01-31,Provinsi Nusa Tenggara Timur,Kabupaten Sukoharjo,Electronics,Online,Cash,522266,3,16.4,4.9,110.8195292,-7.6808818
TRX00066,2024-05-30,Provinsi Jambi,Kabupaten Malang,Fashion,Offline,Credit Card,193764,5,10.8,4.7,112.6884549,-8.0495643
TRX00067,2024-08-19,Provinsi Sulawesi Barat,Kabupaten Mamuju,Electronics,Online,Digital Wallet,502534,6,23.2,4.5,118.9295737,-2.7293364
TRX00068,2024-07-19,Provinsi Sulawesi Barat,Kota Cilegon,Electronics,Offline,Bank Transfer,418601,0,19.3,3.7,106.040506,-6.0169825
TRX00069,2024-10-24,Provinsi Jawa Barat,Kabupaten Melawi,Home & Living,Offline,Cash,379223,1,39.5,4.1,111.6660725,-0.7000681
TRX00070,2024-01-26,Provinsi Aceh,Kabupaten Pangkajene Dan Kepulauan,Health & Beauty,Online,Bank Transfer,122148,4,11.9,4.2,119.5571677,-4.805035
TRX00071,2023-12-27,Provinsi Maluku,Kota Singkawang,Fashion,Online,Cash,304106,2,18.2,4.3,108.984596,0.908795
TRX00072,2024-01-05,Provinsi Bengkulu,Kabupaten Banyu Asin,Electronics,Online,Bank Transfer,459095,1,6.2,4.8,104.7520939,-2.6095639
TRX00073,2024-03-01,Provinsi Jambi,Kabupaten Sumenep,Food & Beverage,Offline,Digital Wallet,123882,4,25.4,3.5,113.9060624,-6.9253999
TRX00074,2024-08-22,Provinsi Kepulauan Riau,Kabupaten Pulau Morota,Food & Beverage,Online,Cash,738740,2,27.1,3.5,128.4008357,2.3656672
TRX00075,2024-10-26,Provinsi Lampung,Kota Kediri,Electronics,Online,Bank Transfer,2155335,4,13.9,4.2,112.011398,-7.816895
TRX00076,2024-09-26,Provinsi Maluku Utara,Kabupaten Klaten,Home & Living,Offline,Digital Wallet,1193532,3,11.1,3.5,110.595497,-7.711687
TRX00077,2024-03-21,Provinsi Jambi,Kabupaten Selayar,Home & Living,Online,Cash,245685,3,5.1,4.8,120.5,-6
TRX00078,2024-01-17,Provinsi Kalimantan Selatan,Kabupaten Sumba Timur,Electronics,Online,Bank Transfer,283077,3,5.3,4.1,120.3435506,-9.9802103
TRX00079,2024-10-09,Provinsi Jawa Barat,Kabupaten Timor Tengah Utara,Health & Beauty,Online,Digital Wallet,342713,6,16.2,2.9,124.597132,-9.4522647
TRX00080,2024-10-04,Provinsi Kepulauan Riau,Kota Padang Panjang,Health & Beauty,Offline,Bank Transfer,1000723,3,47.6,4.1,100.4059456,-0.470679
TRX00081,2024-05-30,Provinsi Sulawesi Barat,Kabupaten Buru Selatan,Fashion,Online,Bank Transfer,524825,6,20.8,4.3,126.7819505,-3.3927754
TRX00082,2024-04-22,Provinsi Maluku,Kabupaten Halmahera Utara,Food & Beverage,Hybrid,Digital Wallet,212200,1,12.2,3.8,128.4849923,1.3121235
TRX00083,2024-04-11,Provinsi Aceh,Kabupaten Mamberamo Raya,Fashion,Online,Digital Wallet,120374,1,30.6,3.6,137.7637565,-2.5331255
TRX00084,2024-05-29,Provinsi DI Yogyakarta,Kabupaten Tapanuli Selatan,Fashion,Offline,Digital Wallet,955163,3,22,4.2,99.2785583,1.5774933
TRX00085,2024-02-25,Provinsi Bengkulu,Kota Palangka Raya,Home & Living,Online,Bank Transfer,192216,2,26.2,4.8,113.92,-2.21
TRX00086,2024-07-09,Provinsi Kepulauan Riau,Kabupaten Mojokerto,Electronics,Online,Credit Card,897486,3,23.4,4,112.427027,-7.488075
TRX00087,2024-02-28,Provinsi Jawa Timur,Kabupaten Belitung,Home & Living,Online,Digital Wallet,587371,1,35,4.8,107.9531836,-2.8708938
TRX00088,2024-05-22,Provinsi Nusa Tenggara Timur,Kota Lubuklinggau,Electronics,Offline,Digital Wallet,1123671,2,19.9,4.9,102.8616667,-3.2966667
TRX00089,2024-11-22,Provinsi Nusa Tenggara Barat,Kabupaten Tojo Una-Una,Food & Beverage,Offline,Cash,1630687,1,39.8,3.6,121.5370003,-1.098757
TRX00090,2024-03-17,Provinsi Kalimantan Selatan,Kabupaten Way Kanan,Fashion,Hybrid,Bank Transfer,131537,4,28.7,4.6,104.5655273,-4.4963689
TRX00091,2024-06-05,Provinsi Nusa Tenggara Barat,Kabupaten Ngawi,Electronics,Offline,Credit Card,1517605,3,19.9,4.1,111.46193,-7.38993
TRX00092,2024-05-07,Provinsi Sumatera Barat,Kabupaten Karanganyar,Food & Beverage,Offline,Digital Wallet,1086156,6,18.3,4.3,110.9508333,-7.5961111
TRX00093,2024-02-12,Provinsi Nusa Tenggara Barat,Kabupaten Klaten,Food & Beverage,Online,Digital Wallet,401469,3,6.3,5.1,110.595497,-7.711687
TRX00094,2024-03-06,Provinsi Aceh,Kabupaten Padang Lawas Utara,Home & Living,Online,Cash,535305,3,11.7,4.7,99.634135,1.5758644
TRX00095,2024-06-18,Provinsi Jawa Timur,Kabupaten Nias,Food & Beverage,Online,Credit Card,889788,2,16.2,4,113.7111274,-8.1712591
TRX00096,2024-12-19,Provinsi Sumatera Selatan,Kabupaten Katingan,Food & Beverage,Online,Credit Card,1056890,4,38.9,3.4,112.8105512,-0.9758379
TRX00097,2024-08-15,Provinsi Papua,Kabupaten Kepulauan Yapen,Electronics,Online,Digital Wallet,98351,3,35.4,4.4,136.1709012,-1.7469359
TRX00098,2024-03-30,Provinsi Kepulauan Riau,Kabupaten Tanjung Jabung Barat,Fashion,Hybrid,Cash,2348289,4,10.1,4.5,103.7984428,-1.2332122
TRX00099,2024-11-17,Provinsi Sulawesi Selatan,Kota Surabaya,Fashion,Online,Cash,133579,2,13.6,4.8,112.734398,-7.289166
TRX00100,2024-07-24,Provinsi Nusa Tenggara Barat,Kabupaten Deli Serdang,Electronics,Offline,Credit Card,68130,4,5.4,4.9,98.704075,3.4201802
TRX00101,2024-04-28,Provinsi Jambi,Kota Sibolga,Electronics,Online,Credit Card,1417747,3,22.9,4.3,98.7827988,1.7403745
TRX00102,2024-07-22,Provinsi Sumatera Selatan,Kabupaten Natuna,Home & Living,Online,Cash,120421,4,24.6,4.3,108.1812242,3.9329945
TRX00103,2024-06-14,Provinsi Sulawesi Barat,Kabupaten Musi Banyuasin,Food & Beverage,Online,Bank Transfer,436349,3,13.3,4.4,103.7289167,-2.5442029
TRX00104,2024-09-21,Provinsi Kepulauan Bangka Belitung,Kabupaten Klaten,Health & Beauty,Hybrid,Cash,142033,2,5.6,4.7,110.595497,-7.711687
TRX00105,2024-10-20,Provinsi Kalimantan Selatan,Kabupaten Balangan,Health & Beauty,Online,Bank Transfer,90740,2,14.6,4.3,115.6154732,-2.3260425
TRX00106,2024-10-28,Provinsi Kalimantan Barat,Kota Subulussalam,Food & Beverage,Online,Bank Transfer,350889,3,18.4,4,98.0165205,2.6449927
TRX00107,2024-08-11,Provinsi Maluku,Kabupaten Muaro Jambi,Electronics,Online,Bank Transfer,1042834,1,16.8,3.7,103.615799,-1.596672
TRX00108,2024-12-23,Provinsi DI Yogyakarta,Kota Tebing Tinggi,Fashion,Online,Bank Transfer,748809,4,22.9,4.2,99.2009815,3.3856205
TRX00109,2024-08-22,Provinsi Sulawesi Barat,Kota Depok,Fashion,Offline,Digital Wallet,287181,2,7,4.2,106.83,-6.39
TRX00110,2024-12-07,Provinsi DKI Jakarta,Kabupaten Labuhanbatu Utara,Food & Beverage,Offline,Cash,537446,2,34.4,4.2,99.8124935,2.3465638
TRX00111,2024-11-22,Provinsi Kalimantan Barat,Kabupaten Bungo,Home & Living,Hybrid,Digital Wallet,494670,4,33.7,4,101.8891721,-1.6401338
TRX00112,2024-09-28,Provinsi Bali,Kabupaten Kerinci,Food & Beverage,Offline,Bank Transfer,533287,3,15.1,3.9,101.4339148,-1.8720467
TRX00113,2024-04-14,Provinsi Sulawesi Utara,Kabupaten Siau Tagulandang Biaro,Food & Beverage,Offline,Credit Card,349515,2,20.9,4.7,125.4124355,2.345964
TRX00114,2024-04-08,Provinsi Sulawesi Tengah,Kabupaten Sikka,Electronics,Offline,Cash,783315,5,13.3,4.1,122.1291843,-8.6766175
TRX00115,2024-05-22,Provinsi Jawa Tengah,Kabupaten Lombok Timur,Fashion,Hybrid,Cash,184912,2,33,5,116.5609857,-8.5134471
TRX00116,2024-05-25,Provinsi Jawa Barat,Kota Pagar Alam,Food & Beverage,Hybrid,Cash,796401,2,4,3.8,103.265297,-4.03767
TRX00117,2024-04-03,Provinsi Sumatera Selatan,Kota Yogyakarta,Health & Beauty,Online,Cash,388844,1,16.8,3.3,110.368797,-7.797224
TRX00118,2024-09-03,Provinsi Sumatera Barat,Kabupaten Timor Tengah Utara,Home & Living,Online,Digital Wallet,390328,3,31.5,4.1,124.597132,-9.4522647
TRX00119,2024-05-31,Provinsi Gorontalo,Kabupaten Kolaka,Fashion,Hybrid,Credit Card,1105872,2,9.2,4.7,121.593803,-4.049665
TRX00120,2024-05-26,Provinsi DKI Jakarta,Kabupaten Tanjung Jabung Timur,Food & Beverage,Online,Credit Card,356029,3,7.4,4.1,103.89973,-1.3291599
TRX00121,2023-12-28,Provinsi Nusa Tenggara Timur,Kota Jakarta Timur,Home & Living,Offline,Bank Transfer,203820,3,18.4,3.4,106.845172,-6.211544
TRX00122,2024-11-13,Provinsi DKI Jakarta,Kabupaten Kotawaringin Timur,Electronics,Hybrid,Cash,163948,5,19.1,3.9,106.8630737,-6.1952992
TRX00123,2024-09-20,Provinsi Kalimantan Selatan,Kabupaten Bandung,Fashion,Online,Cash,1065946,2,34.6,4.2,107.6098111,-6.9147444
TRX00124,2024-09-28,Provinsi DKI Jakarta,Kabupaten Lahat,Food & Beverage,Hybrid,Credit Card,52947,2,18.3,4.9,103.5427778,-3.7863889
TRX00125,2024-10-06,Provinsi Sulawesi Tenggara,Kabupaten Rokan Hulu,Food & Beverage,Offline,Bank Transfer,359844,2,12.5,4.8,100.439656,1.0410934
TRX00126,2024-09-25,Provinsi Sumatera Utara,Kabupaten Banyumas,Fashion,Online,Digital Wallet,654611,3,15.4,4.6,109.140438,-7.4832133
TRX00127,2024-02-16,Provinsi Sumatera Selatan,Kabupaten Mamasa,Food & Beverage,Online,Cash,138051,1,37.5,4.4,119.368202,-2.960135
TRX00128,2024-11-18,Provinsi Gorontalo,Kabupaten Gorontalo,Electronics,Online,Cash,549796,2,34.3,3.8,123.0666667,0.5333333
TRX00129,2024-08-17,Provinsi Sulawesi Barat,Kabupaten Wonosobo,Electronics,Hybrid,Cash,1067234,4,14,4.6,109.899399,-7.362109
TRX00130,2024-08-31,Provinsi Riau,Kabupaten Lampung Barat,Food & Beverage,Online,Credit Card,88072,2,7.1,4.8,104.1930918,-5.1490396
TRX00131,2024-11-26,Provinsi Jambi,Kabupaten Hulu Sungai Tengah,Health & Beauty,Online,Bank Transfer,224836,7,8.9,4.6,115.5207358,-2.6153162
TRX00132,2024-01-31,Provinsi Maluku Utara,Kabupaten Lanny Jaya,Electronics,Hybrid,Digital Wallet,3180671,7,45.2,4.8,138.3190276,-3.971033
TRX00133,2024-10-28,Provinsi Kepulauan Bangka Belitung,Kabupaten Bireuen,Food & Beverage,Online,Credit Card,283712,2,31.8,4.4,96.89005,5.18254
TRX00134,2024-05-08,Provinsi Nusa Tenggara Timur,Kabupaten Jember,Electronics,Offline,Credit Card,207782,3,23.2,4.7,113.700302,-8.172357
TRX00135,2024-08-05,Provinsi Gorontalo,Kota Jakarta Timur,Electronics,Online,Digital Wallet,231566,4,34.1,4.9,106.845172,-6.211544
TRX00136,2024-02-09,Provinsi Jawa Timur,Kabupaten Bolang Mongondow Selatan,Fashion,Online,Bank Transfer,353635,5,35.1,3.7,123.8411288,0.4053215
TRX00137,2024-03-09,Provinsi DKI Jakarta,Kabupaten Bolaang Mongondow,Food & Beverage,Online,Credit Card,657540,6,11.5,5,124.0641419,0.6870994
TRX00138,2024-03-15,Provinsi Sulawesi Barat,Kabupaten Rembang,Food & Beverage,Offline,Cash,270134,4,11.3,4.6,111.345299,-6.71124
TRX00139,2024-06-24,Provinsi Bali,Kabupaten Lingga,Food & Beverage,Hybrid,Cash,668011,2,37.7,4.6,104.6354631,-0.1627686
TRX00140,2024-01-31,Provinsi Sulawesi Tengah,Kabupaten Bolang Mongondow Timur,Electronics,Online,Cash,1101621,5,7.5,4.2,124.4641848,0.7152651
TRX00141,2024-07-06,Provinsi Jawa Barat,Kabupaten Pidie,Food & Beverage,Hybrid,Credit Card,764152,2,6.6,3.7,95.940971,5.0742659
TRX00142,2024-09-05,Provinsi Nusa Tenggara Timur,Kota Prabumulih,Food & Beverage,Online,Bank Transfer,1155641,7,7.8,3.6,104.235397,-3.440956
TRX00143,2024-06-08,Provinsi Bengkulu,Kabupaten Asahan,Health & Beauty,Offline,Credit Card,245109,4,19.8,4.4,99.634135,2.8174722
TRX00144,2024-10-04,Provinsi DKI Jakarta,Kabupaten Jepara,Home & Living,Online,Cash,482916,3,19.7,4.1,110.6717,-6.5596059
TRX00145,2024-03-26,Provinsi Jawa Timur,Kota Surabaya,Home & Living,Offline,Cash,1060901,1,29.7,4.7,112.734398,-7.289166
TRX00146,2024-09-20,Provinsi Kepulauan Bangka Belitung,Kota Depok,Electronics,Online,Cash,576827,5,17.8,4.2,106.83,-6.39
TRX00147,2024-12-01,Provinsi Sulawesi Utara,Kabupaten Seruyan,Electronics,Offline,Bank Transfer,675383,3,13,4,112.4291464,-3.0123467
TRX00148,2024-10-28,Provinsi Nusa Tenggara Timur,Kabupaten Sukamara,Home & Living,Hybrid,Bank Transfer,574469,5,12.9,5,111.2368084,-2.6267517
TRX00149,2024-01-12,Provinsi DKI Jakarta,Kabupaten Pasaman Barat,Home & Living,Offline,Digital Wallet,655568,2,12,4.1,99.634135,0.2213005
TRX00150,2024-12-17,Provinsi Papua,Kabupaten Bengkulu Selatan,Electronics,Online,Cash,532675,5,7.6,3.9,103.035694,-4.3248409
TRX00151,2024-07-05,Provinsi Kepulauan Bangka Belitung,Kabupaten Balangan,Fashion,Hybrid,Credit Card,181852,1,22.8,4.5,115.6154732,-2.3260425
TRX00152,2024-12-06,Provinsi Kalimantan Timur,Kabupaten Selayar,Fashion,Online,Bank Transfer,649748,9,7,5,120.5,-6
TRX00153,2024-06-04,Provinsi Bali,Kabupaten Lombok Barat,Home & Living,Hybrid,Digital Wallet,346270,4,40.4,3.7,116.1123078,-8.6464599
TRX00154,2024-02-13,Provinsi Kepulauan Riau,Kabupaten Tebo,Fashion,Offline,Cash,2294715,3,22.4,4.1,102.3463875,-1.2592999
TRX00155,2024-12-21,Provinsi Lampung,Kabupaten Hulu Sungai Utara,Electronics,Online,Credit Card,321499,3,30,4,115.188916,-2.4421225
TRX00156,2024-01-14,Provinsi Nusa Tenggara Barat,Kabupaten Pohuwato,Fashion,Offline,Cash,635706,3,12.3,4.2,121.7195459,0.7055278
TRX00157,2024-06-17,Provinsi Sulawesi Utara,Kabupaten Soppeng,Food & Beverage,Online,Digital Wallet,75893,7,15.8,4.4,119.9277947,-4.3518541
TRX00158,2024-02-03,Provinsi Sulawesi Tengah,Kabupaten Jepara,Food & Beverage,Offline,Cash,282508,3,30.7,4.6,110.6717,-6.5596059
TRX00159,2024-11-02,Provinsi Bengkulu,Kabupaten Natuna,Food & Beverage,Online,Digital Wallet,238444,0,20.2,4.7,108.1812242,3.9329945
TRX00160,2024-03-16,Provinsi Jawa Barat,Kabupaten Nias Barat,Food & Beverage,Offline,Digital Wallet,1871113,5,28.5,3.8,97.5247243,1.1255279
TRX00161,2024-01-03,Provinsi Banten,Kota Bandung,Fashion,Online,Credit Card,469421,4,14,4.2,107.6098111,-6.9147444
TRX00162,2024-04-22,Provinsi Sumatera Barat,Kabupaten Blitar,Health & Beauty,Hybrid,Credit Card,631149,5,13.1,4.6,112.162762,-8.1014419
TRX00163,2024-10-20,Provinsi Maluku Utara,Kabupaten Nias Selatan,Electronics,Online,Bank Transfer,737217,2,17.6,3.9,97.8286368,0.7086091
TRX00164,2024-03-17,Provinsi Kalimantan Tengah,Kabupaten Bengkulu Tengah,Food & Beverage,Online,Credit Card,321010,3,22,4.4,102.2591667,-3.7955556
TRX00165,2024-12-22,Provinsi Gorontalo,Kabupaten Ogan Komering Ulu Timur,Fashion,Hybrid,Credit Card,737525,2,12,5.1,104.7520939,-3.8567934
TRX00166,2024-07-04,Provinsi Sulawesi Selatan,Kabupaten Batu Bara,Electronics,Offline,Cash,2463182,4,34,3.5,99.5006143,3.1740979
TRX00167,2024-04-08,Provinsi Aceh,Kabupaten Maluku Barat Daya,Food & Beverage,Online,Cash,1011893,1,23.1,4.6,126.3498097,-7.7851588
TRX00168,2024-03-09,Provinsi Sulawesi Selatan,Kabupaten Bangli,Electronics,Offline,Cash,1115419,5,31.8,4.2,115.354897,-8.454303
TRX00169,2024-07-08,Provinsi Kalimantan Tengah,Kabupaten Kota Baru,Food & Beverage,Online,Digital Wallet,237001,4,33.5,3.7,106.807915,-6.332973
TRX00170,2024-08-28,Provinsi Kalimantan Tengah,Kota Blitar,Food & Beverage,Hybrid,Digital Wallet,653036,1,10.5,4.3,112.15,-8.1
TRX00171,2024-07-10,Provinsi Maluku,Kota Pematang Siantar,Electronics,Online,Digital Wallet,732111,5,36.2,4.2,99.06,2.96
